# A1 Stufe 2 — Flussleiter: f_c(I), C(I) und die ON/OFF-Asymmetrie
# Zweck: das eigentliche A1-Ergebnis. f_c an mehreren Arbeitspunkten, um
# 'f_c ~ I' zu pruefen — das Akzeptanzkriterium, an dem sich entscheidet, ob die
# Flussachse stimmt (Kruemmung deutet auf einen Kalibrierfehler, nicht auf neue
# Pixelphysik; dann geht es zu A6).
# 
# ERST FAHREN, WENN STUFE 1 BESTANDEN IST. Ohne Plateau ist jedes f_c hier
# wieder nur eine Obergrenze, und ohne bestandenen DC-Test ist die Normierung
# nicht gerechtfertigt.
# 
# Frequenzleiter je Arbeitspunkt: etwa 0.08 bis 12 x das ERWARTETE f_c,
# geometrisch. Beim dunkelsten Punkt wird f_min auf 0.075 Hz angehoben, weil
# die urspruenglichen 0.058 Hz bei 500 kSa/s nicht in den 32-s-Cache passen.
# Die Erwartung skaliert linear aus dem Messwert f_c(0.40) = 2.9 Hz — genau die
# Annahme, die geprueft wird. Liegt f_c weit daneben, sitzt die Leiter schief;
# nach dem ersten Arbeitspunkt kurz kontrollieren und ggf. neu generieren.
# 
# Oberhalb ~20 x f_c war bei der Vorsitzung keine Antwort mehr messbar
# (|H| < 0.03), deshalb endet die Leiter dort statt bei 2 kHz.
#
# Umfang: 231 Recordings, ~224 min reine Aufnahmezeit (inkl. 11 s Overhead je Recording)
label,mean_u,frequency_hz,depth_a,duration_s,settle_s,role
#
# ==========================================================================
# mean_u = 0.10   erwartetes f_c ~ 0.72 Hz   Leiter 0.075 .. 8.7 Hz
# Lokales Plateau: 0.075 und 0.145 Hz; diese Punkte duerfen nicht durch die 0.30-Messung ersetzt werden.
#
# --- Flusspunkt mean_u = 0.10 ----------------------------------------
ladder,0.25,0.145,0.28,138,3,
ladder,0.25,0.145,0.45,138,3,
ladder,0.25,0.145,0.80,138,3,
ladder,0.25,0.145,1.70,138,3,
ladder,0.25,0.362,1.70,56,3,
ladder,0.25,0.362,0.80,56,3,
ladder,0.25,0.362,0.45,56,3,
ladder,0.25,0.362,0.28,56,3,
ladder,0.25,0.362,0.15,56,3,
ladder,0.25,0.906,0.15,23,3,
ladder,0.25,0.906,0.28,23,3,
ref,0.25,0.362,0.80,55,3,
ladder,0.25,0.906,0.45,23,3,
ladder,0.25,0.906,0.80,23,3,
ladder,0.25,0.906,1.30,23,3,
ladder,0.25,0.906,1.70,23,3,
ladder,0.25,1.812,1.70,20,3,
ladder,0.25,1.812,1.30,20,3,
ladder,0.25,1.812,0.80,20,3,
ladder,0.25,1.812,0.45,20,3,
ladder,0.25,1.812,0.28,20,3,
ladder,0.25,1.812,0.15,20,3,
ladder,0.25,3.987,0.15,20,3,
ladder,0.25,3.987,0.28,20,3,
ref,0.25,0.362,0.80,55,3,
ladder,0.25,3.987,0.45,20,3,
ladder,0.25,3.987,0.80,20,3,
ladder,0.25,3.987,1.30,20,3,
ladder,0.25,3.987,1.70,20,3,
ladder,0.25,9.062,1.70,20,3,
ladder,0.25,9.062,1.30,20,3,
ladder,0.25,9.062,0.80,20,3,
ladder,0.25,9.062,0.45,20,3,
ladder,0.25,9.062,0.28,20,3,
ladder,0.25,9.062,0.15,20,3,
ladder,0.25,21.75,0.15,20,3,
ladder,0.25,21.75,0.28,20,3,
ref,0.25,0.362,0.80,55,3,
ladder,0.25,21.75,0.45,20,3,
ladder,0.25,21.75,0.80,20,3,
ladder,0.25,21.75,1.30,20,3,
ladder,0.25,21.75,1.70,20,3,
#
# ==========================================================================
# mean_u = 0.33   erwartetes f_c ~ 2.39 Hz   Leiter 0.191 .. 28.71 Hz
# Lokales Plateau: 0.191 und 0.478 Hz; diese Punkte duerfen nicht durch die 0.30-Messung ersetzt werden.
#
# --- Flusspunkt mean_u = 0.33 ----------------------------------------
floor,0.33,2.392,0.02,20,8,background
windows,0.33,0.191,1.70,105,3,pilot
windows,0.33,28.71,1.70,20,3,pilot
ladder,0.33,0.191,0.15,105,3,
ladder,0.33,0.191,0.28,105,3,
ladder,0.33,0.191,0.45,105,3,
ladder,0.33,0.191,0.80,105,3,
ladder,0.33,0.191,1.70,105,3,
ladder,0.33,0.478,1.70,42,3,
ladder,0.33,0.478,0.80,42,3,
ladder,0.33,0.478,0.45,42,3,
ladder,0.33,0.478,0.28,42,3,
ladder,0.33,0.478,0.15,42,3,
ladder,0.33,1.196,0.15,20,3,
ladder,0.33,1.196,0.28,20,3,
ref,0.33,0.478,0.80,42,3,
ladder,0.33,1.196,0.45,20,3,
ladder,0.33,1.196,0.80,20,3,
ladder,0.33,1.196,1.30,20,3,
ladder,0.33,1.196,1.70,20,3,
